year,city,country,avg_temp
1907,Barcelona,Spain,15.83
1908,Barcelona,Spain,16.05
1909,Barcelona,Spain,15.32
1910,Barcelona,Spain,15.62
1911,Barcelona,Spain,16.30
1912,Barcelona,Spain,15.80
1913,Barcelona,Spain,16.32
1914,Barcelona,Spain,15.81
1915,Barcelona,Spain,15.83
1916,Barcelona,Spain,15.97
1917,Barcelona,Spain,15.22
1918,Barcelona,Spain,15.41
1919,Barcelona,Spain,15.30
1920,Barcelona,Spain,16.28
1921,Barcelona,Spain,16.28
1922,Barcelona,Spain,15.94
1923,Barcelona,Spain,16.03
1924,Barcelona,Spain,16.15
1925,Barcelona,Spain,15.49
1926,Barcelona,Spain,16.61
1927,Barcelona,Spain,16.57
1928,Barcelona,Spain,16.74
1929,Barcelona,Spain,16.18
1930,Barcelona,Spain,16.50
1931,Barcelona,Spain,16.15
1932,Barcelona,Spain,15.84
1933,Barcelona,Spain,16.09
1934,Barcelona,Spain,16.37
1935,Barcelona,Spain,16.10
1936,Barcelona,Spain,16.03
1937,Barcelona,Spain,16.91
1938,Barcelona,Spain,16.17
1939,Barcelona,Spain,16.01
1940,Barcelona,Spain,16.01
1941,Barcelona,Spain,15.57
1942,Barcelona,Spain,16.26
1943,Barcelona,Spain,16.88
1944,Barcelona,Spain,16.05
1945,Barcelona,Spain,16.84
1946,Barcelona,Spain,16.19
1947,Barcelona,Spain,17.08
1948,Barcelona,Spain,16.90
1949,Barcelona,Spain,17.18
1950,Barcelona,Spain,16.86
1951,Barcelona,Spain,15.88
1952,Barcelona,Spain,16.66
1953,Barcelona,Spain,16.41
1954,Barcelona,Spain,15.99
1955,Barcelona,Spain,16.72
1956,Barcelona,Spain,15.34
1957,Barcelona,Spain,15.89
1958,Barcelona,Spain,16.50
1959,Barcelona,Spain,16.46
1960,Barcelona,Spain,16.16
1961,Barcelona,Spain,17.04
1962,Barcelona,Spain,16.09
1963,Barcelona,Spain,15.77
1964,Barcelona,Spain,16.54
1965,Barcelona,Spain,16.02
1966,Barcelona,Spain,16.52
1967,Barcelona,Spain,16.54
1968,Barcelona,Spain,16.47
1969,Barcelona,Spain,15.78
1970,Barcelona,Spain,16.35
1971,Barcelona,Spain,16.07
1972,Barcelona,Spain,15.54
1973,Barcelona,Spain,16.10
1974,Barcelona,Spain,15.89
1975,Barcelona,Spain,16.02
1976,Barcelona,Spain,15.98
1977,Barcelona,Spain,16.07
1978,Barcelona,Spain,16.05
1979,Barcelona,Spain,16.36
1980,Barcelona,Spain,15.86
1981,Barcelona,Spain,16.56
1982,Barcelona,Spain,16.95
1983,Barcelona,Spain,16.83
1984,Barcelona,Spain,15.90
1985,Barcelona,Spain,16.45
1986,Barcelona,Spain,16.61
1987,Barcelona,Spain,16.80
